price_usd;comuna;habitaciones;ba�o;area_construida;area_total
277008;Maipú;5;2;120;242
531856;Peñalolén;6;4;179;400
585041;Peñalolén;5;4;160;505
359002;Peñalolén;3;3;122;200
336842;Peñalolén;4;3;110;220
381163;LaFlorida;4;3;115;300
709141;Peñalolén;4;3;237;2002
1418281;LoBarnechea;5;5;350;750
376731;Ñuñoa;3;2;115;172
274748;PadreHurtado;4;3;135;260
1236564;LaReina;5;5;311;1543
367372;Ñuñoa;4;2;87;144
1285318;LaReina;5;4;324;1105
487534;Providencia;5;7;1327;250
97507;LaGranja;3;1;120;65
1356232;LasCondes;6;5;402;1150
576177;Santiago;15;3;367;237
105853;Conchalí;3;1;67;160
731301;LasCondes;5;4;190;395
1551245;Colina;4;4;313;4411
460941;LasCondes;3;2;110;225
1006093;LaReina;4;4;260;830
797783;LasCondes;6;4;240;226
1373960;LasCondes;4;4;380;960
1152354;LasCondes;4;2;300;1250
149440;Maipú;2;2;70;160
82192;PuenteAlto;3;1;70;114
273973;Pudahuel;4;3;115;212
1551245;LasCondes;7;4;250;960
1152354;Providencia;5;4;240;500
2304707;LoBarnechea;6;6;450;2800
824376;LasCondes;6;5;180;373
1440442;LoBarnechea;6;5;480;1095
2614956;LasCondes;5;5;480;1240
2326868;LasCondes;4;3;488;2421
2393350;LasCondes;5;4;840;2300
904154;LoBarnechea;6;3;250;649
602770;Colina;4;6;160;825
602770;Colina;4;6;220;825
1191800;LoBarnechea;4;4;290;720
1130193;LoBarnechea;4;4;365;1182
2038780;Vitacura;4;4;402;795
2034347;Vitacura;4;4;356;812
1458171;LoBarnechea;5;4;304;600
1639445;LoBarnechea;7;6;380;1012
90909;LaPintana;4;1;66;100
1413849;LoBarnechea;4;4;430;1600
1493628;LoBarnechea;5;4;450;2000
819944;LoBarnechea;4;3;222;766
975068;LoBarnechea;5;5;210;500
1209971;LoBarnechea;5;5;280;800
1773;LoBarnechea;4;4;200;831
1773;LoBarnechea;4;4;200;731
1773;LoBarnechea;5;4;250;1272
1773;LoBarnechea;5;4;350;950
576177;LoBarnechea;6;2;180;406
1218836;LoBarnechea;3;3;250;1200
1373960;LaReina;6;5;470;1100
2659278;Vitacura;5;4;620;1600
1240996;LoBarnechea;4;3;260;830
186800;Peñaflor;3;3;93;93
159390;Maipú;3;2;61;176
317961;LaFlorida;4;3;174;209
93400;ElBosque;4;2;140;162
83437;Cerrillos;4;1;100;106
192902;Ñuñoa;3;1;100;100
125429;LaReina;3;1;110;220
107213;PuenteAlto;2;1;98;169
257064;Ñuñoa;2;2;70;0
514127;Peñalolén;4;3;140;313
442327;Providencia;3;2;112;151
621420;SanMiguel;5;3;245;630
426548;SanMiguel;4;2;117;531
567313;LaReina;5;4;160;286
250415;Pudahuel;4;3;108;217
766758;LaReina;4;3;176;600
70859;Pudahuel;2;1;36;64
1054847;Vitacura;7;6;433;1008
1329639;LoBarnechea;5;4;330;1000
1010526;LoBarnechea;4;5;260;1397
2216065;LasCondes;7;5;470;1800
1551245;LoBarnechea;8;6;500;1600
2654846;LoBarnechea;8;7;692;2061
109589;Quilicura;3;2;85;90
675900;Colina;3;4;150;518
69738;PuenteAlto;3;2;100;100
1196675;Colina;5;1;450;5000
1263157;LoBarnechea;5;4;300;1000
554016;LasCondes;3;2;115;250
644210;Vitacura;5;1;15951;250
593861;Ñuñoa;4;3;167;599
130760;EstaciónCentral;2;2;107;110
412188;Providencia;5;3;146;213
248332;Maipú;3;1;174;314
176842;Maipú;5;2;92;120
850260;Ñuñoa;5;3;229;317
332454;Colina;5;4;146;393
232997;Recoleta;3;1;273;273
172454;Independencia;3;2;104;95
1108032;Curacaví;7;4;787;47800
243767;LoPrado;4;1;170;230
1037118;LoBarnechea;4;3;200;700
223158;SanMiguel;3;2;133;256
952908;Vitacura;4;4;225;504
952908;Vitacura;4;4;225;504
2083101;Vitacura;4;5;300;2400
1861494;LoBarnechea;6;5;504;1669
