Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
161893,Lampa,3,1.0,85.0,180.0,3.0
230386,SanRamón,3,2.0,,214.0,1.0
339975,Peñalolén,4,2.0,250.0,500.0,4.0
224159,LoPrado,8,8.0,139.0,282.0,3.0
356786,Peñalolén,5,3.0,131.0,241.0,1.0
149440,Maipú,2,2.0,75.0,149.0,1.0
149440,Maipú,4,2.0,82.0,104.0,1.0
149440,PuenteAlto,3,3.0,84.0,120.0,1.0
1063711,LasCondes,7,5.0,,800.0,4.0
926315,LoBarnechea,4,3.0,225.0,700.0,2.0
188366,SanBernardo,4,2.0,85.0,155.0,2.0
146438,PuenteAlto,3,2.0,102.0,86.0,1.0
443213,LaFlorida,3,2.0,140.0,1000.0,4.0
775623,Peñalolén,4,3.0,200.0,2000.0,
74720,PuenteAlto,3,1.0,,,1.0
57285,LaGranja,3,1.0,,,
155666,PuenteAlto,3,2.0,,,2.0
155666,PuenteAlto,3,2.0,,154.0,2.0
220299,Ñuñoa,4,2.0,100.0,124.0,1.0
1196453,LoBarnechea,6,6.0,350.0,1000.0,7.0
222005,PuenteAlto,3,3.0,99.0,157.0,2.0
161893,PuenteAlto,3,1.0,75.0,102.0,1.0
174346,PuenteAlto,4,1.0,74.0,162.0,2.0
151930,Maipú,3,1.0,91.0,138.0,1.0
308033,Buin,3,3.0,112.0,240.0,2.0
538504,LaReina,5,4.0,140.0,220.0,2.0
252802,PuenteAlto,4,3.0,113.0,178.0,2.0
341274,PuenteAlto,4,3.0,122.0,374.0,2.0
115816,PuenteAlto,2,2.0,49.0,80.0,1.0
709141,Vitacura,3,2.0,140.0,310.0,2.0
259280,Quilicura,3,2.0,145.0,247.0,4.0
204234,PuenteAlto,3,2.0,89.0,181.0,3.0
840598,LaReina,4,3.0,150.0,210.0,2.0
598337,Peñalolén,5,4.0,220.0,340.0,2.0
211706,Santiago,2,1.0,85.0,100.0,
94645,PuenteAlto,3,2.0,90.0,110.0,3.0
310249,Pudahuel,4,3.0,137.0,225.0,1.0
448319,LaCisterna,4,3.0,270.0,480.0,4.0
199253,LaCisterna,3,1.0,150.0,331.0,4.0
332410,Pudahuel,4,3.0,129.0,228.0,2.0
1617727,LoBarnechea,6,5.0,344.0,702.0,5.0
105853,Colina,2,1.0,52.0,91.0,
456509,Colina,3,3.0,135.0,135.0,2.0
554016,Colina,6,4.0,170.0,610.0,3.0
108344,PadreHurtado,3,1.0,65.0,90.0,2.0
576177,Maipú,5,6.0,217.0,596.0,5.0
109589,PuenteAlto,4,2.0,80.0,100.0,1.0
199446,PadreHurtado,3,3.0,84.0,169.0,2.0
95890,Maipú,3,2.0,55.0,93.0,4.0
206094,Maipú,3,1.0,89.0,200.0,3.0
336842,Maipú,3,3.0,155.0,233.0,4.0
155666,Pudahuel,3,2.0,90.0,98.0,1.0
187036,PuenteAlto,4,3.0,90.0,200.0,2.0
589473,LasCondes,4,2.0,110.0,258.0,2.0
248864,PuenteAlto,5,3.0,178.0,264.0,1.0
193026,Ñuñoa,3,1.0,40.0,198.0,2.0
157917,PuenteAlto,4,3.0,80.0,105.0,3.0
332410,Huechuraba,3,3.0,107.0,180.0,2.0
273973,Conchalí,5,2.0,182.0,250.0,4.0
188366,LaFlorida,6,3.0,450.0,450.0,
99723,PuenteAlto,3,1.0,62.0,74.0,
