price_usd;comuna;habitaciones;banio;area_construida;area_total
310249;Buin;4;3;100;100
112080;Buin;3;;62;130
119047;Buin;3;1;89;110
171789;Buin;3;3;81;201
173724;Buin;4;2;80;80
93400;Buin;4;2;130;130
149440;Buin;4;3;130;200
435866;Buin;3;1;98;560
236613;Buin;3;3;100;412
161893;Buin;3;2;86;155
172410;Buin;3;3;90;163
274792;Buin;3;3;96;201
84682;Buin;3;1;;
110803;Buin;2;2;54;100
176842;Buin;3;3;72;147
753462;Buin;6;4;330;5000
234903;Buin;3;3;86;193
274792;Buin;3;3;98;220
87173;Buin;2;1;103;87
350138;Buin;4;4;137;458
562880;Buin;5;2;210;600
243767;Buin;2;3;75;199
206537;Buin;3;2;80;173
101186;Buin;2;1;45;112
94848;Buin;3;1;70;110
509695;Buin;4;3;230;5200
837672;Buin;5;3;230;5000
248199;Buin;3;3;100;218
159113;Buin;4;3;93;175
118306;Buin;3;2;73;85
327978;Buin;4;3;123;264
137396;Buin;3;2;65;116
158780;Buin;5;3;126;133
1174514;Buin;7;9;650;10000
58531;Buin;3;1;;
78456;Buin;2;1;50;72
188410;Buin;3;2;105;200
314681;Buin;4;3;122;240
186800;Buin;3;2;85;190
217174;Buin;3;2;66;171
531856;Buin;4;4;140;240
279224;Buin;4;3;122;316
235568;Buin;3;3;95;210
252631;Buin;3;2;80;190
79701;Buin;4;2;142;98
87173;Buin;3;1;50;85
103362;Buin;3;2;95;110
79701;Buin;4;2;142;98
103091;Buin;2;1;60;120
68493;Buin;4;1;58;72
143601;Buin;3;3;70;140
971357;Buin;4;2;150;4080
177285;Buin;3;3;93;161
159557;Buin;3;2;75;160
180573;Buin;3;2;66;189
166781;Buin;3;2;75;116
158780;Buin;5;3;123;132
59776;Buin;2;1;80;130
99626;Buin;2;2;52;91
385595;Buin;3;3;118;366
246575;Buin;4;3;110;216
212299;Buin;3;3;90;190
221669;Buin;4;3;125;180
207867;Buin;3;3;89;184
217174;Buin;3;3;86;189
234460;Buin;3;3;81;206
190582;Buin;3;3;;
221252;Buin;3;3;100;173
158780;Buin;5;3;123;132
112080;Buin;3;2;80;90
172410;Buin;3;3;90;163
143213;Buin;3;3;81;158
112080;Buin;3;2;80;90
124533;Buin;3;2;65;137
226650;Buin;3;3;86;265
100609;Buin;3;1;60;200
150249;Buin;3;2;62;189
311333;Buin;4;2;117;325
240971;Buin;3;3;140;200
257064;Buin;3;3;95;180
314681;Buin;4;3;122;256
332410;Buin;3;3;105;128
99989;Buin;4;2;80;113
168120;Buin;3;2;75;135
318670;Buin;3;3;115;260
239103;Buin;3;2;100;412
80946;Buin;3;1;50;155
158780;Buin;5;3;126;132
385595;Buin;5;2;200;1440
239335;Buin;3;2;90;402
119667;Buin;2;2;52;99
332410;Buin;3;3;138;240
84682;Buin;3;1;70;100
86870;Buin;3;1;80;100
74720;Buin;3;1;;
98381;Buin;3;2;96;112
105853;Buin;4;2;;
390027;Buin;4;3;140;418
