price_usd;comuna;dorm;bath;built_area;total_area;parqking
108344;PadreHurtado;3;1;65;90;2
576177;Maipu;5;6;217;596;5
109589;PuenteAlto;4;2;80;100;1
199446;PadreHurtado;3;3;84;169;2
95890;Maipu;3;2;55;93;4
206094;Maipu;3;1;89;200;3
336842;Maipu;3;3;155;233;4
155666;Pudahuel;3;2;90;98;1
187036;PuenteAlto;4;3;90;200;2
589473;LasCondes;4;2;110;258;2
248864;PuenteAlto;5;3;178;264;1
193026;Ñuñoa;3;1;40;198;2
157917;PuenteAlto;4;3;80;105;3
332410;Huechuraba;3;3;107;180;2
273973;Conchalí;5;2;182;250;4
188366;LaFlorida;6;3;450;450;
99723;PuenteAlto;3;1;62;74;
250415;PuenteAlto;3;3;99;300;3
618282;LaFlorida;7;4;206;1000;6
356786;Santiago;4;2;119;182;2
97285;LoEspejo;3;1;74;160;4
161893;Maipu;4;2;84;90;2
69738;LaGranja;3;1;53;63;
137396;PuenteAlto;3;1;56;90;1
1683766;LaReina;6;3;295;1150;
1152354;Ñuñoa;11;4;567;702;
143213;Maipu;3;2;62;100;1
186800;LaFlorida;3;2;65;105;1
686980;LasCondes;4;3;200;500;3
354570;LaReina;3;1;88;275;
927771;LasCondes;6;5;180;542;2
1284431;LoBarnechea;7;5;300;5600;10
487534;LasCondes;3;2;122;226;2
325762;Providencia;3;1;91;91;
398448;LaReina;4;2;119;165;1
1500276;LoBarnechea;6;7;520;832;
788033;Providencia;4;3;281;500;4
554016;Vitacura;5;4;130;150;2
494182;LasCondes;3;3;113;253;2
81994;Quilicura;2;1;80;56;1
1595567;Vitacura;5;5;330;560;4
496399;LasCondes;3;2;75;229;3
252631;QuintaNormal;6;2;299;390;6
1573406;LasCondes;4;4;168;233;3
102117;PuenteAlto;4;2;48;123;2
135741;CaleradeTango;4;2;90;140;1
199253;Melipilla;3;3;140;160;2
155666;Recoleta;4;2;100;245;6
146949;Melipilla;6;3;120;140;1
80946;Lampa;2;1;55;70;1
531811;Talagante;3;3;181;5141;3
106371;SanBernardo;5;2;98;107;1
195014;LaFlorida;4;2;123;181;1
1905816;LoBarnechea;4;3;480;1499;4
327534;LasCondes;3;2;83;144;
611634;Colina;4;;270;4500;
513684;Colina;5;4;178;495;
686980;Colina;6;4;240;1110;
309806;Colina;4;3;108;424;
314681;Colina;4;3;115;350;
390027;Colina;5;3;128;422;
997229;Colina;7;5;435;5000;
1365096;LasCondes;5;5;290;500;
1320775;LasCondes;5;5;293;800;
885983;Peñalolén;3;2;200;245;6
575734;Colina;4;4;188;389;
1418281;Colina;7;4;345;3200;
509695;LaFlorida;3;3;325;325;3
277008;Maipu;5;2;120;242;2
877562;Peñalolén;5;6;300;880;4
837672;Peñalolén;4;4;200;625;3
837672;Peñalolén;12;8;561;1860;1
819944;Peñalolén;4;4;180;789;2
381163;LaFlorida;4;3;115;300;3
819944;Peñalolén;5;5;200;650;3
1418281;LoBarnechea;5;5;350;750;2
376731;Ñuñoa;3;2;115;172;2
274748;PadreHurtado;4;3;135;260;3
1236564;LaReina;5;5;311;1543;6
367372;Ñuñoa;4;2;87;144;
1285318;LaReina;5;4;324;1105;5
487534;Providencia;5;7;1327;250;
97507;LaGranja;3;1;120;65;
1356232;LasCondes;6;5;402;1150;4
576177;Santiago;15;3;367;237;
105853;Conchalí;3;1;67;160;
731301;LasCondes;5;4;190;395;3
1551245;Colina;4;4;313;4411;8
460941;LasCondes;3;2;110;225;3
1006093;LaReina;4;4;260;830;
797783;LasCondes;6;4;240;226;4
1373960;LasCondes;4;4;380;960;3
1152354;LasCondes;4;2;300;1250;8
149440;Maipu;2;2;70;160;
82192;PuenteAlto;3;1;70;114;1
273973;Pudahuel;4;3;115;212;2
1551245;LasCondes;7;4;250;960;4
1152354;Providencia;5;4;240;500;5
2304707;LoBarnechea;6;6;450;2800;11
824376;LasCondes;6;5;180;373;
1440442;LoBarnechea;6;5;480;1095;
2614956;LasCondes;5;5;480;1240;10
2326868;LasCondes;4;3;488;2421;8
2393350;LasCondes;5;4;840;2300;9
904154;LoBarnechea;6;3;250;649;6
602770;Colina;4;6;160;825;4
602770;Colina;4;6;220;825;4
1191800;LoBarnechea;4;4;290;720;4
1130193;LoBarnechea;4;4;365;1182;6
2038780;Vitacura;4;4;402;795;5
2034347;Vitacura;4;4;356;812;5
1458171;LoBarnechea;5;4;304;600;4
1639445;LoBarnechea;7;6;380;1012;6
90909;LaPintana;4;1;66;100;1
1413849;LoBarnechea;4;4;430;1600;6
1493628;LoBarnechea;5;4;450;2000;5
819944;LoBarnechea;4;3;222;766;6
975068;LoBarnechea;5;5;210;500;
1209971;LoBarnechea;5;5;280;800;4
1773;LoBarnechea;4;4;200;831;6
1773;LoBarnechea;4;4;200;731;
1773;LoBarnechea;5;4;250;1272;
1773;LoBarnechea;5;4;350;950;10
576177;LoBarnechea;6;2;180;406;
1218836;LoBarnechea;3;3;250;1200;
1373960;LaReina;6;5;470;1100;
2659278;Vitacura;5;4;620;1600;12
1240996;LoBarnechea;4;3;260;830;2
186800;Peñaflor;3;3;93;93;2
159390;Maipu;3;2;61;176;3
317961;LaFlorida;4;3;174;209;2
93400;ElBosque;4;2;140;162;2
83437;Cerrillos;4;1;100;106;2
192902;Ñuñoa;3;1;100;100;2
125429;LaReina;3;1;110;220;1
107213;PuenteAlto;2;1;98;169;1
257064;Ñuñoa;2;2;70;;1
819944;Peñalolén;5;6;280;700;3
442327;Providencia;3;2;112;151;
621420;SanMiguel;5;3;245;630;
426548;SanMiguel;4;2;117;531;
567313;LaReina;5;4;160;286;3
250415;Pudahuel;4;3;108;217;2
766758;LaReina;4;3;176;600;4
70859;Pudahuel;2;1;36;64;1
1054847;Vitacura;7;6;433;1008;10
1329639;LoBarnechea;5;4;330;1000;5
1010526;LoBarnechea;4;5;260;1397;4
2216065;LasCondes;7;5;470;1800;7
1551245;LoBarnechea;8;6;500;1600;
2654846;LoBarnechea;8;7;692;2061;7
109589;Quilicura;3;2;85;90;1
675900;Colina;3;4;150;518;2
69738;PuenteAlto;3;2;100;100;1
1196675;Colina;5;1;450;5000;
1263157;LoBarnechea;5;4;300;1000;5
554016;LasCondes;3;2;115;250;
644210;Vitacura;5;1;15951;250;3
593861;Ñuñoa;4;3;167;599;
130760;EstacionCentral;2;2;107;110;1
412188;Providencia;5;3;146;213;
248332;Maipu;3;1;174;314;
176842;Maipu;5;2;92;120;2
850260;Ñuñoa;5;3;229;317;
332454;Colina;5;4;146;393;
232997;Recoleta;3;1;273;273;
172454;Independencia;3;2;104;95;
1108032;Curacaví;7;4;787;47800;
243767;LoPrado;4;1;170;230;
1037118;LoBarnechea;4;3;200;700;3
223158;SanMiguel;3;2;133;256;3
952908;Vitacura;4;4;225;504;
952908;Vitacura;4;4;225;504;4
2083101;Vitacura;4;5;300;2400;4
1861494;LoBarnechea;6;5;504;1669;
5983375;LasCondes;10;12;2400;5061;15
2437671;LoBarnechea;5;3;517;2977;5
611634;Talagante;5;4;261;5000;
1232877;Talagante;8;7;620;5000;12
3324097;Vitacura;8;5;873;10806;
4299166;LoBarnechea;5;4;400;2781;
1232132;LoBarnechea;4;4;337;809;3
673684;LoBarnechea;5;3;153;193;2
731301;LoBarnechea;5;4;171;434;3
1063711;LoBarnechea;6;5;260;1000;4
1152354;LoBarnechea;5;4;395;1050;4
2171743;Vitacura;7;6;440;1100;5
642659;Providencia;3;3;230;528;4
620498;LasCondes;6;5;170;350;4
514127;Pudahuel;4;2;140;780;3
289861;Pudahuel;3;3;112;261;2
421052;LaCisterna;5;5;490;500;
819944;LasCondes;6;4;220;265;2
211706;Maipu;5;2;127;210;2
1325207;LoBarnechea;5;4;260;700;
316853;Ñuñoa;3;2;70;84;
482659;Ñuñoa;3;2;99;127;
478227;Ñuñoa;3;2;94;122;
442770;Ñuñoa;2;2;93;124;
438781;Ñuñoa;2;3;96;123;1
886426;LoBarnechea;4;4;275;921;5
1325207;LoBarnechea;4;5;389;900;6
1280885;LoBarnechea;6;4;500;5900;17
611634;LasCondes;4;4;152;500;3
660387;Colina;5;7;250;5000;4
841218;Providencia;8;4;240;20;3
534072;LoBarnechea;3;3;140;200;
819944;Peñalolén;8;6;283;680;4
1174514;LasCondes;5;4;241;706;
1019390;LasCondes;7;4;250;480;
547368;Vitacura;4;3;109;261;
311333;Independencia;5;3;153;382;
199446;PuenteAlto;3;3;92;180;2
797783;LaReina;6;5;202;638;
749030;LaReina;10;5;310;926;
180573;LaFlorida;4;2;92;162;3
232687;PuenteAlto;3;3;90;150;1
170610;PuenteAlto;4;2;100;191;4
341274;PuenteAlto;4;3;;;2
819944;Peñalolén;5;5;220;660;3
105853;Ñuñoa;3;1;75;75;
970636;Colina;6;5;370;5000;2
243767;Maipu;3;1;94;267;2
310249;Huechuraba;4;2;118;200;2
686980;LoBarnechea;4;3;164;220;2
602770;Vitacura;3;3;125;256;2
2437671;LoBarnechea;6;5;604;4720;8
930304;LasCondes;5;4;167;482;
1462603;LoBarnechea;6;5;235;815;
1440442;LoBarnechea;5;5;293;742;
1325207;LoBarnechea;5;5;294;818;
1227700;Colina;4;4;296;5016;
1373960;LoBarnechea;6;4;282;875;
498132;LoBarnechea;3;3;121;379;
1285318;LoBarnechea;5;5;264;881;
1351800;LoBarnechea;6;5;306;1137;5
1684209;LoBarnechea;7;6;600;2000;
1639888;LoBarnechea;7;5;495;7200;11
1108032;Vitacura;8;5;220;455;6
1772852;LoBarnechea;4;4;328;924;6
249066;Cerrillos;6;3;183;282;2
1772852;LoBarnechea;4;3;236;936;5
620498;LoBarnechea;4;3;150;315;
65152;Cerrillos;2;1;100;120;1
1058531;Maipu;6;2;300;1500;5
704709;Vitacura;4;3;140;270;2
864265;LoBarnechea;5;4;205;480;2
704709;Vitacura;4;2;145;289;
841661;LoBarnechea;5;4;176;469;2
1945705;LoBarnechea;5;4;404;906;
286426;Recoleta;3;2;180;254;2
168120;LaFlorida;3;2;104;166;
1993129;LoBarnechea;8;8;660;1294;8
1325207;LasCondes;7;5;343;1112;
2415511;LoBarnechea;7;7;467;1301;6
1648752;LoBarnechea;3;3;428;1800;6
2029915;LoBarnechea;5;4;367;1710;
1369528;LoBarnechea;5;7;330;970;3
1108032;LoBarnechea;7;4;327;950;5
112080;Conchalí;3;1;97;120;
744598;LaReina;5;3;225;486;3
2650413;LoBarnechea;6;6;614;1644;5
1950137;LoBarnechea;7;8;560;1300;8
1041550;LoBarnechea;5;5;260;694;2
3368418;LoBarnechea;5;5;800;1800;
70984;Lampa;4;2;57;79;2
168120;Renca;3;3;83;120;3
881994;Pirque;5;4;;;
496887;Pirque;5;4;298;5010;
122061;PuenteAlto;4;1;;;
199253;Macul;5;;150;171;
664376;LasCondes;4;2;160;200;
